ID,LINK,authorInfo_PROCESSED,uthorArticles_PROCESSED,authorTweets_PROCESSED,authorArticles_PROCESSED
1,https://insead.muckrack.com/marcelolprince,Y,N,Y,Y
2,https://insead.muckrack.com/omar-abdel-baqui,Y,N,Y,Y
3,https://insead.muckrack.com/almarlatour,Y,N,Y,Y
4,https://insead.muckrack.com/kailyn-rhone,Y,N,N,Y
5,https://insead.muckrack.com/poverberg,Y,N,Y,Y
6,https://insead.muckrack.com/joe_palazzolo,Y,N,Y,Y
7,https://insead.muckrack.com/efindell,Y,N,Y,Y
8,https://insead.muckrack.com/rolfewinkler,Y,N,Y,Y
9,https://insead.muckrack.com/heather-gillers,Y,N,Y,Y
10,https://insead.muckrack.com/peter-grant,Y,N,N,Y
